Table Name,Column Count,Primary Key Fields,Export File
LiteLLM_BudgetTable,18,budget_id,LiteLLM_BudgetTable.csv
LiteLLM_CredentialsTable,8,credential_id,LiteLLM_CredentialsTable.csv
LiteLLM_ProxyModelTable,8,model_id,LiteLLM_ProxyModelTable.csv
LiteLLM_OrganizationTable,4,organization_id,LiteLLM_OrganizationTable.csv
LiteLLM_ModelTable,7,id,LiteLLM_ModelTable.csv
LiteLLM_TeamTable,7,team_id,LiteLLM_TeamTable.csv
LiteLLM_UserTable,14,user_id,LiteLLM_UserTable.csv
LiteLLM_ObjectPermissionTable,8,object_permission_id,LiteLLM_ObjectPermissionTable.csv
LiteLLM_MCPServerTable,13,server_id,LiteLLM_MCPServerTable.csv
LiteLLM_VerificationToken,8,token,LiteLLM_VerificationToken.csv
LiteLLM_EndUserTable,8,user_id,LiteLLM_EndUserTable.csv
LiteLLM_Config,2,param_name,LiteLLM_Config.csv
LiteLLM_SpendLogs,17,request_id,LiteLLM_SpendLogs.csv
LiteLLM_ErrorLogs,8,request_id,LiteLLM_ErrorLogs.csv
LiteLLM_UserNotifications,5,request_id,LiteLLM_UserNotifications.csv
LiteLLM_TeamMembership,5,None,LiteLLM_TeamMembership.csv
LiteLLM_OrganizationMembership,10,None,LiteLLM_OrganizationMembership.csv
LiteLLM_InvitationLink,12,id,LiteLLM_InvitationLink.csv
LiteLLM_AuditLog,9,id,LiteLLM_AuditLog.csv
LiteLLM_DailyUserSpend,18,id,LiteLLM_DailyUserSpend.csv
LiteLLM_DailyTeamSpend,18,id,LiteLLM_DailyTeamSpend.csv
LiteLLM_DailyTagSpend,18,id,LiteLLM_DailyTagSpend.csv
LiteLLM_CronJob,5,cronjob_id,LiteLLM_CronJob.csv
LiteLLM_ManagedFileTable,9,id,LiteLLM_ManagedFileTable.csv
LiteLLM_ManagedObjectTable,10,id,LiteLLM_ManagedObjectTable.csv
LiteLLM_ManagedVectorStoresTable,9,vector_store_id,LiteLLM_ManagedVectorStoresTable.csv
LiteLLM_GuardrailsTable,6,guardrail_id,LiteLLM_GuardrailsTable.csv
LiteLLM_PromptTable,6,id,LiteLLM_PromptTable.csv
LiteLLM_HealthCheckTable,13,health_check_id,LiteLLM_HealthCheckTable.csv
