Field Name,Type,Required,Array,Primary Key,Unique,Default Value,Raw Definition
request_id,String,Yes,No,Yes,No,,request_id          String @id
call_type,String,Yes,No,No,No,,call_type           String
api_key,String,Yes,No,No,No,,"api_key             String  @default ("""") // Hashed API Token. Not the actual Virtual Key. Equivalent to 'token' column in LiteLLM_VerificationToken"
spend,Float,Yes,No,No,No,0.0,spend               Float    @default(0.0)
total_tokens,Int,Yes,No,No,No,0,total_tokens        Int     @default(0)
prompt_tokens,Int,Yes,No,No,No,0,prompt_tokens       Int     @default(0)
completion_tokens,Int,Yes,No,No,No,0,completion_tokens   Int     @default(0)
startTime,DateTime,Yes,No,No,No,,startTime           DateTime // Assuming start_time is a DateTime field
endTime,DateTime,Yes,No,No,No,,endTime             DateTime // Assuming end_time is a DateTime field
completionStartTime,DateTime,No,No,No,No,,completionStartTime DateTime? // Assuming completionStartTime is a DateTime field
model,String,Yes,No,No,No,"""""","model               String   @default("""")"
model_id,String,No,No,No,No,"""""","model_id            String?   @default("""") // the model id stored in proxy model db"
model_group,String,No,No,No,No,"""""","model_group         String?   @default("""") // public model_name / model_group"
custom_llm_provider,String,No,No,No,No,"""""","custom_llm_provider String?   @default("""") // litellm used custom_llm_provider"
api_base,String,No,No,No,No,"""""","api_base            String?   @default("""")"
user,String,No,No,No,No,"""""","user                String?   @default("""")"
metadata,Json,No,No,No,No,,"metadata            Json?     @default(""{"
